breed,sample_accession,individual_id,run_accession,scientific_name,popularity,min_height,max_height,Mean_height
Beagle,SAMN03801644,Beagle 2,SRR2094385,Canis lupus familiaris,6,33.02,38.1,35.56
Beagle,SAMEA2376414,Beagle 4,SRR7107564,Canis lupus familiaris,6,33.02,38.1,35.56
Beagle,SAMN06159681,Beagle 1,SRR7107976,Canis lupus familiaris,6,33.02,38.1,35.56
Bearded_Collie,SAMEA4505496,Bearded Collie 6,SRR7107613,Canis lupus familiaris,127,50.8,55.88,53.34
Bearded_Collie,SAMEA4505492,Bearded Collie 2,SRR7107609,Canis lupus familiaris,127,50.8,55.88,53.34
Bearded_Collie,SAMEA4504832,Bearded Collie 7,SRR7107601,Canis lupus familiaris,127,50.8,55.88,53.34
Bearded_Collie,SAMEA4504827,Bearded Collie 5,SRR7107596,Canis lupus familiaris,127,50.8,55.88,53.34
Bearded_Collie,SAMEA3928140,Bearded Collie 1,SRR7107581,Canis lupus familiaris,127,50.8,55.88,53.34
Belgian_Malinois,SAMEA104125121,Belgian Malinois 5,SRR7107561,Canis lupus familiaris,43,55.88,66.04,60.96
Belgian_Malinois,SAMEA4504823,Belgian Malinois 2,SRR7107592,Canis lupus familiaris,43,55.88,66.04,60.96
Belgian_Malinois,SAMEA4504826,Belgian Malinois 3,SRR7107595,Canis lupus familiaris,43,55.88,66.04,60.96
Belgian_Malinois,SAMEA104032048,Belgian Malinois 4,SRR7107526,Canis lupus familiaris,43,55.88,66.04,60.96
Belgian_Sheepdog,SAMN08872843,Belgian Sheepdog 2,SRR7120110,Canis lupus familiaris,125,55.88,66.04,60.96
Belgian_Sheepdog,SAMN03801646,Belgian Sheepdog 1,SRR2095368,Canis lupus familiaris,125,55.88,66.04,60.96
Belgian_Sheepdog,SAMN08872844,Belgian Sheepdog 3,SRR7120111,Canis lupus familiaris,125,55.88,66.04,60.96
Belgian_Sheepdog,SAMN08872847,Belgian Sheepdog 6,SRR7120114,Canis lupus familiaris,125,55.88,66.04,60.96
Belgian_Sheepdog,SAMN08872845,Belgian Sheepdog 4,SRR7120112,Canis lupus familiaris,125,55.88,66.04,60.96
Belgian_Tervuren,SAMN08872853,Belgian Tervuren 5,SRR7120120,Canis lupus familiaris,106,55.88,66.04,60.96
Belgian_Tervuren,SAMN08872849,Belgian Tervuren 1,SRR7120116,Canis lupus familiaris,106,55.88,66.04,60.96
Belgian_Tervuren,SAMN08872852,Belgian Tervuren 4,SRR7120119,Canis lupus familiaris,106,55.88,66.04,60.96
Belgian_Tervuren,SAMN08872855,Belgian Tervuren 7,SRR7120122,Canis lupus familiaris,106,55.88,66.04,60.96
Belgian_Tervuren,SAMN08872856,Belgian Tervuren 8,SRR7120123,Canis lupus familiaris,106,55.88,66.04,60.96
Bernese_Mountain_Dog,SAMN08872868,Bernese Mountain Dog 4,SRR7120129,Canis lupus familiaris,22,58.42,69.85,64.135
Bernese_Mountain_Dog,SAMN08872878,Bernese Mountain Dog 14,SRR7120139,Canis lupus familiaris,22,58.42,69.85,64.135
Bernese_Mountain_Dog,SAMN08872866,Bernese Mountain Dog 2,SRR7120127,Canis lupus familiaris,22,58.42,69.85,64.135
Bernese_Mountain_Dog,SAMN08872875,Bernese Mountain Dog 11,SRR7120136,Canis lupus familiaris,22,58.42,69.85,64.135
Bernese_Mountain_Dog,SAMN08872882,Bernese Mountain Dog 18,SRR7120143,Canis lupus familiaris,22,58.42,69.85,64.135
Border_Collie,SAMN04908307,Border Collie 5,SRR3466763,Canis lupus familiaris,35,45.72,55.88,50.8
Border_Collie,SAMN03801650,Border Collie 12,SRR2094387,Canis lupus familiaris,35,45.72,55.88,50.8
Border_Collie,SAMEA4504821,Border Collie 14,SRR7107590,Canis lupus familiaris,35,45.72,55.88,50.8
Border_Collie,SAMEA104125115,Border Collie 10,SRR7107555,Canis lupus familiaris,35,45.72,55.88,50.8
Border_Collie,SAMN04908311,Border Collie 4,SRR3466767,Canis lupus familiaris,35,45.72,55.88,50.8
